FloodIntensity,UnmetIrrDemand,UnmetHydroDemand,UnmetRecreationDemand,x1,x2,x3,Dominance
13.60351232,12.3240497,12.3240497,0.130352748,0.507896169,67.97617613,0.597393335,1
11.68548324,10.82116607,10.82116607,0.431664289,0.568984155,74.14716422,0.010306942,1
13.48035143,12.35073528,12.35073528,0.137108091,0.50838193,67.87521529,0.606935608,1
13.90100028,12.42517275,12.42517275,0.113212208,0.500161185,68.13809784,0.621058367,1
20.8510795,11.43638372,11.43638372,0,0.4226543,71.77935606,0.18592071,1
13.59427257,12.39319407,12.39319407,0.126830324,0.502985808,67.8737487,0.616624823,1
8.683477539,11.33198356,11.33198356,0.816496998,0.563030709,62.31848728,0.241289973,1
8.585377748,11.48881767,11.48881767,0.768307252,0.560252389,62.07794406,0.308191527,1
10.33036856,11.37616675,11.37616675,0.447640758,0.544768595,63.31195581,0.218194873,1
8.459447826,11.4136376,11.4136376,0.801651019,0.565442498,61.98598282,0.285736971,1
10.0494789,11.4321767,11.4321767,0.447195997,0.549062436,63.91912555,0.29285581,1
13.19957327,10.95740268,10.95740268,0.226363306,0.545461197,70.86316008,0.131095576,1
9.618666207,11.35794789,11.35794789,0.575786029,0.551545617,63.03246831,0.231612171,1
9.246311032,11.11402374,11.11402374,0.744810102,0.561235264,62.53293161,0.122865394,1
11.48883963,11.18720291,11.18720291,0.307158903,0.53683902,64.46783872,0.138852764,1
9.14293766,11.30976349,11.30976349,0.684210501,0.557364216,62.39529575,0.208277025,1
12.79919301,11.0119729,11.0119729,0.237828677,0.548230764,70.7733688,0.189864692,1
11.49647623,11.26952766,11.26952766,0.289667754,0.538432258,65.4564783,0.206228839,1
13.62106471,12.28371337,12.28371337,0.126842041,0.508390104,68.19332662,0.598768265,1
13.19519115,10.96612196,10.96612196,0.225313545,0.545323528,70.89321072,0.139374739,1
13.61251074,11.21789164,11.21789164,0.118676194,0.527732593,68.92907927,0.203460155,1
12.26343234,11.23448911,11.23448911,0.208973634,0.537250862,66.92129427,0.204724715,1
9.092532205,11.21575814,11.21575814,0.788507395,0.56051844,62.43418676,0.174403702,1
13.56653291,11.21753596,11.21753596,0.128240248,0.530545788,68.68717699,0.199555328,1
9.385567442,11.15729047,11.15729047,0.617967724,0.564697497,64.01688128,0.175135212,1
9.344780462,11.19656689,11.19656689,0.593016796,0.561639946,63.39937187,0.1886596,1
27.04295616,10.78578176,10.78578176,0,0.458498613,84.73451182,0,1
18.2146537,10.47907843,10.47907843,1.615402567,0.013874362,51.38576481,0,1
37.34280232,10.70622664,10.70622664,0,0.301372133,84.76131668,0,1
18.86963882,10.49115698,10.49115698,1.431528096,0.012285547,52.13530926,9.71E-05,1
16.55802752,10.73490618,10.73490618,1.219003474,0.025587929,50.12068249,0,1
14.22674863,10.6627054,10.6627054,1.860993231,0.035293121,50.03962475,0,1
16.6344865,10.50037479,10.50037479,2.460074265,0.012803365,50.11344967,0,1
17.09107573,10.48356316,10.48356316,2.171657853,0.0143093,50,0,1
17.24029828,10.50504978,10.50504978,2.160918053,0.011782386,50,0.001229247,1
18.45588115,11.78908213,11.78908213,0.023552713,0.407128933,68.45106135,0.254886807,1
17.65203824,10.76944012,10.76944012,0.888918514,0.021271859,52.74434803,0.000978034,1
17.97883051,10.53422052,10.53422052,1.892192594,0.008124814,51.32563499,0.001984305,1
19.11962726,12.03610198,12.03610198,0.022086007,0.396849625,68.70888033,0.293159502,1
9.756736868,11.86941238,11.86941238,0.571365546,0.540687263,62.59724013,0.408131479,1
20.75757476,10.9751761,10.9751761,0.015897803,0.47595732,74.03305877,0.050242195,1
18.08232661,10.5157969,10.5157969,2.084509375,0.010456528,51.11788049,5.57E-05,1
18.1754069,10.76228195,10.76228195,0.841809928,0.021842458,51.95162678,0,1
21.23109875,11.01347053,11.01347053,0.014132158,0.47450712,75.24304173,0.080874712,1
14.76144625,10.62470883,10.62470883,1.791752652,0.03911061,50,0,1
17.62407157,10.4940015,10.4940015,2.089466236,0.012967117,50.73333512,0,1
18.99961073,12.02582025,12.02582025,0.023522907,0.397826138,68.5736574,0.290700804,1
9.437899054,11.78367783,11.78367783,0.623171837,0.544866859,62.35067989,0.389782021,1
8.624316736,11.64279306,11.64279306,0.812863647,0.556303915,61.76993409,0.351843309,1
17.60117392,10.76919277,10.76919277,0.900398521,0.021324682,52.74222467,0.001004065,1
20.49033247,11.04622849,11.04622849,0.016100637,0.476091739,74.01404471,0.084257226,1
20.88560106,10.56956431,10.56956431,1.383272831,0.003921033,52.47062303,0,1
17.46720128,10.55939326,10.55939326,1.766762783,0.045715415,50,0,1
19.19244591,11.96819095,11.96819095,0.019671983,0.398123607,69.1243654,0.29065613,1
20.55859866,11.13737067,11.13737067,0.012330395,0.472896208,73.64266731,0.114145477,1
23.66079642,10.86113169,10.86113169,0,0.458685318,77.02980054,0,1
19.47981855,10.91578219,10.91578219,0.017893003,0.472919416,71.63830552,0.022546391,1
9.271082204,10.8986784,10.8986784,0.79059195,0.581301242,66.26972389,0.080243396,1
25.00258434,10.85547397,10.85547397,0,0.455947714,78.87856464,0.002636302,1
19.10136977,10.93817583,10.93817583,0.088290788,0.465703859,70.97840751,0.040339012,1
9.101380177,10.8914961,10.8914961,0.826114373,0.58317252,66.23327638,0.076195643,1
9.227945366,10.92929658,10.92929658,0.804942482,0.581074608,66.35092624,0.109409184,1
89.341706,11.39005467,11.39005467,0,0,150,0,1
36.00758816,10.81191632,10.81191632,0,0.427536941,132.0537873,0.038266057,2
14.4823367,12.3019159,12.3019159,0.090889853,0.500529301,68.49515631,0.556125905,2
18.07455312,12.45691291,12.45691291,0.026573771,0.471018858,71.98328232,0.598242567,2
10.67156177,11.23314282,11.23314282,0.388908965,0.551005362,65.20018694,0.206397068,2
9.122942331,11.2669556,11.2669556,0.715453348,0.571899996,64.1768904,0.255286383,2
8.753461561,11.30594036,11.30594036,0.717786208,0.564419045,62.46321125,0.235183806,2
10.20989422,11.31620342,11.31620342,0.454824047,0.553658985,64.34912809,0.239011364,2
9.552520604,11.37267887,11.37267887,0.596281756,0.560576744,64.17594775,0.291784518,2
14.61018226,12.32958829,12.32958829,0.084322464,0.496633531,68.59512123,0.575608448,2
14.32933054,12.37630996,12.37630996,0.098903031,0.500386654,68.54772778,0.589960672,2
34.36563179,10.81193238,10.81193238,0,0.43489852,131.9878348,0.084881366,2
35.44255133,10.81191819,10.81191819,0,0.430043264,131.3898185,0.16914913,2
9.331481702,11.4033358,11.4033358,0.640237396,0.562180984,63.91616265,0.308635074,2
13.25223162,10.95314212,10.95314212,0.217722574,0.546422586,71.12791603,0.134868426,2
11.12533596,11.21310986,11.21310986,0.329811257,0.547315089,66.02680302,0.205552444,2
12.94066343,10.97208555,10.97208555,0.241370387,0.547220352,70.86712056,0.150942892,2
9.8296778,11.42790503,11.42790503,0.500294663,0.553718484,63.96981647,0.294458375,2
17.86246955,13.31749825,13.31749825,0.014266247,0.460022419,72.08394055,0.79355091,2
16.97479761,13.00279432,13.00279432,0.030577786,0.471917653,71.66556727,0.792532039,2
34.23053875,10.81193516,10.81193516,0,0.435515141,121.3441078,0.025825483,2
11.69656695,10.98816294,10.98816294,0.348735672,0.559422425,70.02545871,0.181124895,2
17.06052111,12.94824626,12.94824626,0.028694719,0.472213457,71.9220996,0.794118728,2
11.90755671,11.02398998,11.02398998,0.321825798,0.5547061,69.36749897,0.18472835,2
13.27204784,11.20035769,11.20035769,0.146264801,0.533252998,68.75889885,0.200586886,2
16.64850271,12.90975596,12.90975596,0.036046743,0.475562594,71.58305347,0.792796381,2
10.27687665,11.29426001,11.29426001,0.454006711,0.55407464,65.19378412,0.249767648,2
9.768878304,11.16259413,11.16259413,0.558174565,0.566418581,64.66073263,0.178894004,2
